,minggu,kabupaten,PPKM,sembuh,meninggal,total_kasus
0,1,1,1,3,1,4
1,1,2,1,1,0,1
2,1,3,1,1,0,1
3,1,4,1,1,0,1
4,1,5,1,2,0,2
5,1,6,1,1,0,1
6,1,7,1,0,1,1
7,1,8,1,1,0,1
8,1,9,1,15,4,19
9,1,10,1,4,2,6
10,1,11,1,3,0,3
11,1,12,1,1,0,1
12,1,13,1,0,1,1
13,1,14,1,2,0,2
14,1,15,1,1,0,1
15,1,16,1,3,0,3
16,1,17,1,1,0,1
17,1,18,1,1,1,2
18,1,19,1,1,0,1
19,1,20,1,2,1,3
20,2,1,1,1,0,1
21,2,2,1,6,0,6
22,2,3,1,2,0,2
23,2,4,1,1,0,1
24,2,5,1,2,0,2
25,2,6,1,1,0,1
26,2,7,1,2,2,4
27,2,9,1,36,8,44
28,2,10,1,2,0,2
29,2,11,1,1,1,2
30,2,12,1,3,1,4
31,2,13,1,2,0,2
32,2,14,1,1,0,1
33,2,15,1,1,0,1
34,2,16,1,1,0,1
35,2,17,1,4,1,5
36,2,18,1,3,0,3
37,2,19,1,1,0,1
38,2,21,1,3,0,3
39,2,22,1,1,0,1
40,2,23,1,4,0,4
41,2,24,1,1,1,2
42,2,25,1,1,1,2
43,2,26,1,1,0,1
44,2,27,1,2,1,3
45,2,28,1,0,3,3
46,2,29,1,1,1,2
47,2,30,1,1,0,1
48,2,31,1,0,1,1
49,2,32,1,4,0,4
50,3,1,1,7,1,8
51,3,2,1,6,0,6
52,3,3,1,6,1,7
53,3,4,1,0,1,1
54,3,7,1,1,0,1
55,3,9,1,18,6,24
56,3,10,1,6,0,6
57,3,11,1,1,0,1
58,3,12,1,2,0,2
59,3,15,1,2,0,2
60,3,18,1,4,1,5
61,3,20,1,1,0,1
62,3,21,1,2,0,2
63,3,22,1,1,0,1
64,3,23,1,1,0,1
65,3,24,1,1,0,1
66,3,25,1,1,0,1
67,3,26,1,4,0,4
68,3,27,1,1,0,1
69,3,28,1,2,0,2
70,3,29,1,2,0,2
71,3,30,1,4,1,5
72,3,31,1,4,1,5
73,3,32,1,9,0,9
74,3,33,1,2,0,2
75,3,34,1,0,1,1
76,4,1,1,23,1,24
77,4,2,1,4,0,4
78,4,3,1,6,1,7
79,4,4,1,5,1,6
80,4,5,1,2,0,2
81,4,6,1,4,0,4
82,4,9,1,44,4,48
83,4,10,1,7,2,9
84,4,11,1,2,0,2
85,4,12,1,5,1,6
86,4,14,1,20,0,20
87,4,15,1,8,0,8
88,4,17,1,3,1,4
89,4,18,1,1,1,2
90,4,19,1,3,0,3
91,4,20,1,3,0,3
92,4,21,1,0,1,1
93,4,22,1,1,1,2
94,4,23,1,1,1,2
95,4,24,1,2,0,2
96,4,25,1,7,0,7
97,4,26,1,4,0,4
98,4,28,1,6,1,7
99,4,29,1,1,0,1
100,4,30,1,3,0,3
101,4,31,1,1,0,1
102,4,32,1,25,0,25
103,4,33,1,1,2,3
104,4,35,1,0,1,1
105,5,1,1,11,1,12
106,5,2,1,7,0,7
107,5,3,1,0,1,1
108,5,4,1,11,1,12
109,5,5,1,1,0,1
110,5,6,1,7,0,7
111,5,7,1,8,0,8
112,5,8,1,1,0,1
113,5,9,1,45,2,47
114,5,10,1,9,2,11
115,5,11,1,8,1,9
116,5,12,1,1,0,1
117,5,13,1,14,1,15
118,5,14,1,12,1,13
119,5,15,1,16,0,16
120,5,17,1,3,1,4
121,5,18,1,6,2,8
122,5,19,1,3,1,4
123,5,20,1,3,0,3
124,5,22,1,2,0,2
125,5,23,1,5,0,5
126,5,24,1,2,0,2
127,5,25,1,5,0,5
128,5,26,1,1,0,1
129,5,28,1,1,1,2
